_id,ISBN#,Title,Traslation,Category,Language,Number of Pages,Publisher Name,Published Date,Unit Selling Price
5f0eae1d16009521bc2799b5,978-969-7879-08-3,misali ikhlaqiat,,self help,urdu,263,,,500
5f0eae1d16009521bc2799b6,978-969-7879-09-0,na mumkin sy mumkin ka safar,,self help,urdu,223,,,500
5f0eae1d16009521bc2799b7,978-969-7879-26-7,ubharta suraj,syed irfan ,self help,urdu,460,,,700
5f0eae1d16009521bc2799b8,978-969-7879-25-0,champion student,,self help,urdu,176,,,400
5f0eae1d16009521bc2799b9,978-969-7879-10-6,assan time management,,self help,urdu,160,,,400
5f0eae1d16009521bc2799ba,978-969-7879-11-3,zindagi mehdood nahi,,self help,urdu,152,,,400
5f0eae1d16009521bc2799bb,978-969-7879-12-0,bharpur khudaitmadi,,self help,urdu,152,,,400
5f0eae1d16009521bc2799bc,978-969-7879-13-7,umeed zindagi,,self help,urdu,96,,,300
5f0eae1d16009521bc2799bd,978-969-7879-14-4,kamyab nojawan,,self help,urdu,188,,,450
5f0eae1d16009521bc2799be,978-969-7879-35-9,zangar nama,,self help,urdu,416,,,700
5f0eae1d16009521bc2799bf,978-969-7879-40-3,kamyabi kay liay number nahi kafi,shehzad nayyar ,self help,urdu,264,,,600
5f0eae1d16009521bc2799c0,978-969-7879-42-7,zehan bolta hai,,psychology,urdu,208,,,500
5f0eae1d16009521bc2799c1,978-969-7879-44-1,mukhtasir nafsiati elaj,,psychology,urdu,356,,,600
5f0eae1d16009521bc2799c2,978-969-7879-38-0,leadership and management,,self help,urdu,173,,,500
5f0eae1d16009521bc2799c3,978-969-7879-39-7,personal development,,self help,urdu,181,,,500
5f0eae1d16009521bc2799c4,978-969-7879-37-3,sales and marketing,,self help,urdu,205,,,500
5f0eae1d16009521bc2799c5,978-969-7879-36-6,business,,self help,urdu,183,,,500
5f0eae1d16009521bc2799c6,978-969-7879-31-1,sheetani kaneesa,,novel,urdu,320,,,600
5f0eae1d16009521bc2799c7,978-969-7879-30-4,ganga sy palwama,,novel,urdu,395,,,1000
5f0eae1d16009521bc2799c8,978-969-7879-32-8,mai aik jasus thaa,,novel,urdu,327,,,600
5f0eae1d16009521bc2799c9,978-969-7879-,kohetoor sy ahram misar,,safar nama ,urdu,141,,,600
5f0ed82e141c4d2dac19a3cc,978-969-7879-15-1,kamyabi ka pegham,,self help,urdu,192,,,500
5f0ed82e141c4d2dac19a3cd,978-969-7879-16-8,zara num ho,,self help,urdu,112,,,300
5f0ed82e141c4d2dac19a3ce,978-969-7879-17-5,bari manzil ka musafir,,self help,urdu,255,,,500
5f0ed82e141c4d2dac19a3cf,978-969-7879-18-2,unchi udaan,,self help,urdu,255,,,500
5f0ed82e141c4d2dac19a3d0,978-969-7879-19-9,apni talash,,self help,urdu,190,,,400
5f0ed82e141c4d2dac19a3d1,978-969-7879-22-9,soch ka hamalia,,self help,urdu,287,,,600
5f0ed82e141c4d2dac19a3d2,978-969-7879-20-5,career encyclopedia,,self help,urdu,328,,,700
5f0ed82e141c4d2dac19a3d3,978-969-7879-23-6,ap ka bacha kamyab ho sakta hai,,self help,urdu,200,,,500
5f0ed82e141c4d2dac19a3d4,978-969-7879-27-4,targheeb,,self help,urdu,139,,,400
5f0ed82e141c4d2dac19a3d5,978-969-7879-28-1,guftugu qasim ali shah kay sath,,self help,urdu,260,,,700
5f0ed82e141c4d2dac19a3d6,978-969-7879-29-8,teacher sy trainer tak,,self help,urdu,197,,,600
5f0ed82e141c4d2dac19a3d7,978-969-7879-21-2,365 aqwaal,,self help,urdu,365,,,350
5f0ed82e141c4d2dac19a3d8,978-969-652-133-4,jeet ki janib,Qasim ali shah ,self help,urdu,224,,,640
5f0ed82e141c4d2dac19a3d9,978-969-7879-02-1,harf harf haqeeqat,,islamic,urdu,176,,,500
5f0ed82e141c4d2dac19a3da,978-969-7879-03-8,dil darya samandar,,islamic,urdu,192,,,500
5f0ed82e141c4d2dac19a3db,978-969-7879-04-5,qatra qatra qulzam,,islamic,urdu,160,,,500
5f0ed82e141c4d2dac19a3dc,978-969-7879-06-9,kiran kiran suraj,,islamic,urdu,112,,,400
5f0ed82e141c4d2dac19a3dd,978-969-7879-24-3,dareechay,,islamic,urdu,112,,,400
5f0ed82e141c4d2dac19a3de,978-969-7879-05-2,baat sy baat,,islamic,urdu,112,,,400
5f0ed82e141c4d2dac19a3df,978-969-7879-01-4,wasfiat,,islamic,urdu,528,,,1300
5f0ed82e141c4d2dac19a3e0,978-969-7879-00-7,aqwaal e wasif ali wasif,,islamic,urdu,336,,,1000
5f0ed82e141c4d2dac19a3e1,978-969-7879-08-3,misali ikhlaqiat,,self help,urdu,263,,,500
5f0ed82e141c4d2dac19a3e2,978-969-7879-09-0,na mumkin sy mumkin ka safar,,self help,urdu,223,,,500
5f0ed82e141c4d2dac19a3e3,978-969-7879-26-7,ubharta suraj,syed irfan ,self help,urdu,460,,,700
5f0ed82e141c4d2dac19a3e4,978-969-7879-25-0,champion student,,self help,urdu,176,,,400
5f0ed82e141c4d2dac19a3e5,978-969-7879-10-6,assan time management,,self help,urdu,160,,,400
5f0ed82e141c4d2dac19a3e6,978-969-7879-11-3,zindagi mehdood nahi,,self help,urdu,152,,,400
5f0ed82e141c4d2dac19a3e7,978-969-7879-12-0,bharpur khudaitmadi,,self help,urdu,152,,,400
5f0ed82e141c4d2dac19a3e8,978-969-7879-13-7,umeed zindagi,,self help,urdu,96,,,300
5f0ed82e141c4d2dac19a3e9,978-969-7879-14-4,kamyab nojawan,,self help,urdu,188,,,450
5f0ed82e141c4d2dac19a3ea,978-969-7879-35-9,zangar nama,,self help,urdu,416,,,700
5f0ed82e141c4d2dac19a3eb,978-969-7879-40-3,kamyabi kay liay number nahi kafi,shehzad nayyar ,self help,urdu,264,,,600
5f0ed82e141c4d2dac19a3ec,978-969-7879-42-7,zehan bolta hai,,psychology,urdu,208,,,500
5f0ed82e141c4d2dac19a3ed,978-969-7879-44-1,mukhtasir nafsiati elaj,,psychology,urdu,356,,,600
5f0ed82e141c4d2dac19a3ee,978-969-7879-38-0,leadership and management,,self help,urdu,173,,,500
5f0ed82e141c4d2dac19a3ef,978-969-7879-39-7,personal development,,self help,urdu,181,,,500
5f0ed82e141c4d2dac19a3f0,978-969-7879-37-3,sales and marketing,,self help,urdu,205,,,500
5f0ed82e141c4d2dac19a3f1,978-969-7879-36-6,business,,self help,urdu,183,,,500
5f0ed82e141c4d2dac19a3f2,978-969-7879-31-1,sheetani kaneesa,,novel,urdu,320,,,600
5f0ed82e141c4d2dac19a3f3,978-969-7879-30-4,ganga sy palwama,,novel,urdu,395,,,1000
5f0ed82e141c4d2dac19a3f4,978-969-7879-32-8,mai aik jasus thaa,,novel,urdu,327,,,600
5f0ed82e141c4d2dac19a3f5,978-969-7879-,kohetoor sy ahram misar,,safar nama ,urdu,141,,,600
